,ID,subject,subject_clean,Len
779,362,'muy satisfecho con la compra',muy satisfecho con la compra,5
780,363,'amaze',amaze,1
781,364,'home movie',home movie,2
782,365,'worth',worth,1
783,365, 'price',price,1
784,366,'satisfied',satisfied,1
785,367,'great performance great service fantastic capsule',great performance great service fantastic capsule,6
786,368,'awesome product',awesome product,2
787,369,'nice projector',nice projector,2
788,369, 'great picture',great picture,2
789,370,'make everything',make everything,2
790,370, 'easy',easy,1
791,371,'anker customer service',anker customer service,3
792,372,'wow great projector',wow great projector,3
793,373,'great',great,1
794,374,'lo mejor',lo mejor,2
795,375,'great sound',great sound,2
796,375, 'resolution',resolution,1
797,376,'wonderful device',wonderful device,2
798,376,'watch movie anywhere around ...',watch movie anywhere around,4
799,377,'amaze projector',amaze projector,2
800,378,'great item',great item,2
801,379,'love',love,1
802,379, 'little',little,1
803,380,'awesome',awesome,1
804,381,'great image quality',great image quality,3
805,382,'work good',work good,2
806,382, 'everything',everything,1
807,383,'excellent product',excellent product,2
808,383,'show',show,1
809,383, 'others',others,1
810,384,'great purchase',great purchase,2
811,385,'amaze',amaze,1
813,386,'projector',projector,1
814,387,'nebula 5 star',nebula 5 star,3
815,388,'best projector',best projector,2
816,389,'work great',work great,2
817,389, 'tripod',tripod,1
818,390,'perfect christmas gift',perfect christmas gift,3
819,391,'amaze',amaze,1
820,392,'great',great,1
821,392, 'compact',compact,1
822,393,'great little projector',great little projector,3
823,394,'great buy',great buy,2
824,395,'kid love',kid love,2
825,395, 'corner ...',corner,1
826,395, 'throw',throw,1
827,396,'versatile',versatile,1
828,396, 'fun',fun,1
829,397,"'amaze """"'",amaze,1
831,398,'projector work',projector work,2
832,398,'savvy ...',savvy,1
833,398, 'not electronic',not electronic,2
834,398, 'wife',wife,1
835,399,'sell',sell,1
836,399, 'buy',buy,1
837,400,'worth',worth,1
838,400, 'money',money,1
839,401,'love',love,1
840,402,'awesome',awesome,1
841,403,'great projector',great projector,2
842,403,'helpful team',helpful team,2
843,404,'amaze mini projector',amaze mini projector,3
844,405,'recommend',recommend,1
845,405, 'clearance',clearance,1
846,405, 'buy',buy,1
847,406,'good',good,1
848,407,'get rid',get rid,2
849,407, 'tv',tv,1
851,408,'fun',fun,1
852,409,'amazing 👍',amazing 👍,2
853,410,'unbelievable amaze',unbelievable amaze,2
854,411,'awesome product',awesome product,2
855,412,'extremely portable',extremely portable,2
856,412, 'capable projector',capable projector,2
857,413,'use',use,1
858,413, 'easy',easy,1
859,414,'easy',easy,1
860,414, 'cool',cool,1
861,415,'perfect',perfect,1
862,416,'`` great product',great product,2
863,416," 'need """"'",need,1
864,416, 'didnt know',didnt know,2
865,417,'good',good,1
866,417,'tiny cinema 📽',tiny cinema 📽,3
867,418,'tiny projector',tiny projector,2
868,418, 'awesome quality',awesome quality,2
869,418, 'sound',sound,1
870,419,'college',college,1
871,420,'wow factor',wow factor,2
872,420,'small size',small size,2
873,420, 'bang',bang,1
874,421,'good',good,1
875,422,'awesome',awesome,1
876,423,'great little projector',great little projector,3
877,423, 'speaker',speaker,1
878,424,'cool look',cool look,2
879,425,'worth',worth,1
880,425, 'price',price,1
881,426,'five star',five star,2
882,427,'recommend',recommend,1
883,428,'great',great,1
884,428, 'game',game,1
885,429,'fantastic addition',fantastic addition,2
886,430,'awesome',awesome,1
887,431,'small',small,1
888,432,'awesome',awesome,1
889,432, 'advertised',advertised,1
890,433,'perfect',perfect,1
891,434,'de esas compras compulsivas que valen la pena',de esas compras compulsivas que valen la pena,8
892,435,'cool',cool,1
893,436,'great picture',great picture,2
894,437,'flexible',flexible,1
895,437,'portable',portable,1
896,437,'powerful',powerful,1
897,438,'wonderful projector',wonderful projector,2
898,438, 'recommend',recommend,1
899,439,'audio delay',audio delay,2
900,440,'anker address issue',anker address issue,3
901,441,'fun device',fun device,2
902,441,'great',great,1
903,441, 'family',family,1
904,442,'great',great,1
905,443,'great product',great product,2
906,444,'great small portable projector',great small portable projector,4
907,444, 'screen ambition',screen ambition,2
908,444, 'big',big,1
909,445,'highly recommend',highly recommend,2
910,445, 'projector',projector,1
911,446,'great little projector',great little projector,3
912,446, 'good battery',good battery,2
913,446, 'size',size,1
914,446, 'pop',pop,1
915,447,'perfect gift',perfect gift,2
916,448,'love',love,1
917,449,'super fun',super fun,2
918,450,'great buy',great buy,2
919,451,'best rapport quality',best rapport quality,3
920,451, 'price',price,1
921,452,'everybody love',everybody love,2
922,452, 'size',size,1
923,452, 'picture',picture,1
924,452, 'impressed',impressed,1
925,453,'absolutely recommend',absolutely recommend,2
926,454,'good',good,1
927,455,'like',like,1
928,456,'great device',great device,2
930,457,'great projector',great projector,2
931,457,'clear',clear,1
932,457, 'bright',bright,1
933,458,'amaze resolution',amaze resolution,2
934,459,'great projector',great projector,2
935,460,'100 portable projector',100 portable projector,3
936,461,'size',size,1
937,461, 'powerful',powerful,1
